disease,diet,workout
(vertigo) Paroymsal  Positional Vertigo,"Stay hydrated; eat regular balanced meals; include fruits, vegetables and whole grains; avoid excessive caffeine and alcohol if they trigger symptoms.",Prefer gentle walking and balance exercises as tolerated; avoid sudden head movements and strenuous activity during dizziness.
AIDS,"Maintain a nutrient-dense balanced diet with adequate protein, calories, fruits and vegetables; follow individualized dietary advice from a healthcare professional.","Light to moderate walking, stretching and resistance activity may be appropriate depending on overall health; exercise intensity should be individualized."
Acne,"Prefer a balanced diet rich in vegetables, fruits, whole grains and adequate water; limit highly refined and sugary foods if they appear to worsen symptoms.",Regular moderate aerobic activity is generally suitable; shower and change sweaty clothes after exercise to help maintain skin hygiene.
Alcoholic hepatitis,"Avoid alcohol completely; maintain adequate nutrition with balanced meals and follow professional dietary guidance, particularly when liver disease is significant.",Avoid strenuous exercise during active illness; gentle activity should only be considered according to medical advice and current condition.
Allergy,Maintain a balanced diet and identify and avoid known food allergens; stay hydrated and choose fresh foods that are well tolerated.,"Walking, stretching and moderate aerobic activity can be appropriate; avoid known environmental triggers during exercise."
Arthritis,"Choose a balanced diet rich in vegetables, fruits, whole grains and healthy protein sources; maintain adequate hydration.","Low-impact activities such as walking, swimming, cycling and gentle mobility exercises are generally preferred."
Bronchial Asthma,"Maintain a balanced diet with fruits, vegetables, whole grains and adequate hydration; avoid foods that are known personal triggers.","Walking, cycling and other moderate aerobic activities can be suitable with appropriate asthma management; warm up gradually."
Cervical spondylosis,"Maintain a balanced diet with adequate protein, vegetables, fruits and hydration to support overall musculoskeletal health.","Gentle neck mobility, posture exercises, stretching and low-impact walking may be appropriate; avoid painful or forceful neck movements."
Chicken pox,"Stay well hydrated and choose soft, nutritious foods; avoid foods that irritate mouth or throat lesions.","Prioritize rest and avoid strenuous exercise while fever, fatigue or active symptoms are present."
Chronic cholestasis,Follow a balanced diet with professional guidance; nutrient absorption and fat tolerance may require individualized dietary planning.,Gentle walking and light activity may be suitable depending on energy levels and liver condition; avoid strenuous activity during significant symptoms.
Common Cold,"Stay hydrated and eat balanced meals including fruits, vegetables, soups and other easy-to-tolerate nutritious foods.","Light walking or stretching may be suitable when symptoms are mild; rest when fever, significant fatigue or worsening symptoms are present."
Dengue,"Focus on adequate fluids and nutritious, easy-to-tolerate foods; follow medical advice regarding hydration and nutrition.",Rest is important during active dengue; avoid strenuous exercise until recovery and medical clearance.
Diabetes,"Prefer high-fiber foods, vegetables, whole grains and balanced portions of protein and carbohydrates; limit highly sugary foods and drinks.","Regular walking, cycling, resistance training and other moderate activity can support fitness and glucose management; individualize activity around treatment and glucose levels."
Dimorphic hemmorhoids(piles),"Increase dietary fiber through vegetables, fruits, whole grains and legumes; drink adequate fluids and avoid excessive straining.",Walking and other light-to-moderate activities are generally suitable; avoid activities that significantly increase discomfort.
Drug Reaction,Avoid the suspected triggering medication or substance only under professional guidance; maintain hydration and eat foods that are well tolerated.,Rest during significant symptoms; avoid strenuous exercise until the reaction has resolved and medical guidance is obtained.
Fungal infection,"Maintain a balanced diet with adequate protein, vegetables, fruits and hydration; avoid excessive added sugar as part of general healthy eating.",Moderate activity such as walking can be appropriate; keep affected skin clean and dry and avoid activity that causes irritation.
GERD,"Prefer smaller meals and avoid personal trigger foods; limit very fatty, spicy or acidic foods when they worsen symptoms and avoid lying down soon after meals.",Walking and moderate activity are generally suitable; avoid vigorous exercise immediately after eating and activities that clearly worsen reflux.
Gastroenteritis,Prioritize fluids and oral rehydration when needed; choose easy-to-tolerate nutritious foods and gradually return to a normal balanced diet as symptoms improve.,"Rest during active vomiting, diarrhea or fever; resume light activity gradually after hydration and recovery."
Heart attack,"Follow a heart-healthy eating pattern emphasizing vegetables, fruits, whole grains, legumes and appropriate lean protein while limiting excess sodium and saturated fat.",Exercise after a heart attack should follow a medically supervised cardiac rehabilitation plan; do not start strenuous exercise independently.
Hepatitis B,"Maintain balanced nutrition with adequate protein, fruits, vegetables and hydration; avoid alcohol and follow individualized liver-care advice.",Light-to-moderate activity may be appropriate when stable; avoid strenuous exercise during significant fatigue or active illness.
